source,reference,terms,base_basic,base_strong,lora_no_term,lora_basic,lora_basic_cleaned,terms_dict,base_translation_only,base_basic_clean
"An Auxiliary Measure is a measure which can be used further within the business entity, but is not exposed to consumption models.","Eine Hilfskennzahl ist eine Kennzahl, die in der Geschäftsentität weiter verwendet werden kann, aber nicht für Verbrauchsmodelle exponiert ist.",{'consumption model': 'Verbrauchsmodell'},"Ein Hilfsmaß ist eine Maß, das innerhalb eines Unternehmens weiterverwendbar sein kann, aber nicht im Verbrauchsmodell ausgestrahlt wird.","Ein Hilfsmaß ist ein Maß, das innerhalb eines Unternehmens weiterverwendbar sein kann, aber nicht im Verbrauchsmodell ausgestoßen wird.","Eine Hilfsmaßnahme ist eine Maßnahme, die in der Geschäftsorganisation weiter verwendet werden kann, aber nicht zur Verwendung im Konsummodell verfügbar gemacht wird.","Geräte- und Dienstleistungsmodelle können nur in den Geräten verwendet werden, die sie erstellt haben. Sie sind nicht für andere Geräte verfügbar.","Geräte- und Dienstleistungsmodelle können nur in den Geräten verwendet werden, die sie erstellt haben. Sie sind nicht für andere Geräte verfügbar.",{'consumption model': 'Verbrauchsmodell'},"Ein Hilfsmaß ist eine Maßnahme, die innerhalb des Unternehmens weiterverwendbar sein kann, aber nicht dem Verbrauchsmodell zugänglich ist.","Ein Hilfsmaßnahme ist eine Maßnahme, die innerhalb des Unternehmens weiter verwendet werden kann, aber nicht zum Verbrauchsmodell ausgewiesen wird."
Lock and Edit a Release,Sperren und Bearbeiten eines Release,{'release': 'Release'},Erstelle und bearbeite eine Release,Erstelle und bearbeite eine Release,Verwalten Sie und Veröffentlichen Sie eine Ressource,Locken und Bearbeiten einer Release,Locken und Bearbeiten einer Release,{'release': 'Release'},Entsperre und bearbeite die Release,Veröffentlichen und Bearbeiten einer Release
Plant stock at time of transfer (current date),Werksbestand zum Zeitpunkt der Übernahme (aktuelles Datum),{'transfer': 'Übernahme'},Gesundheitsstock am Zeitpunkt der Übernahme (aktuelle Daten),Übernahme des Pflanzenbestandes am Zeitpunkt der Übernahme (aktuelle Daten),Plant Stock bei der Transaktion (aktuelle Datum),Plantstock am Zeitpunkt der Übernahme (aktuelle Daten),Plantstock am Zeitpunkt der Übernahme (aktuelle Daten),{'transfer': 'Übernahme'},Übernahme des Pflanzenbestands am Zeitpunkt der Übernahme (aktuelle Daten),Bestand an der Zeitpunkt der Übernahme (aktuelle Datum)
Click a colored cell to view more details about the issues and their category in the Issues panel.,"Wählen Sie eine farbige Zelle, um weitere Details zu dem Problem und dessen Kategorie im Fenster Probleme anzuzeigen.","{'category': 'Kategorie', 'issue': 'Problem', 'panel': 'Fenster'}","Klicken Sie auf ein farbiges Element, um mehr Details über die Probleme und ihre Kategorien im Issuesfenster zu sehen.","Klicken Sie auf ein farbiger Spaltenzeichen, um mehr Details über die Probleme und ihre Kategorien im Problemsfenster zu sehen.","Gerne! Hier ist die deutsche Übersetzung:

Übertrage von Englisch auf Deutsch:
""Click a colored cell to view more details about the issues and their category in the Issues panel.""

Deutsch: Klicken Sie auf ein gelbes Feld, um mehr Details zu den Problemen und ihren Kategorien im Problemspanel anzuzeigen.","Klicken Sie auf ein gelber Spaltenzeichen, um mehr Details über die Probleme und ihre Kategorien im Problemsfenster zu sehen.","Klicken Sie auf ein gelber Spaltenzeichen, um mehr Details über die Probleme und ihre Kategorien im Problemsfenster zu sehen.","{'category': 'Kategorie', 'issue': 'Problem', 'panel': 'Fenster'}","Klicken Sie auf ein farbiger Spaltenzeichen, um mehr Details über die Probleme und ihre Kategorien im Problemsfenster zu sehen.","Klicken Sie auf ein farbiger Spaltenzeichen, um mehr Details über die Probleme und ihre Kategorien im Problemsfenster zu sehen."
The basic finish date is the planned finish time of an order.You can make settings to specify a basic finish date that is relative to the current date.,Der relative Eckendtermin ist der geplante Endzeitpunkt eines Auftrags. Sie können einen Eckendtermin relativ zum Tagesdatum festlegen.,{'order': 'Auftrag'},"Der grundlegende Fertigungsdatum ist die geplanten Fertigungszeitpunkt eines Auftrags. Sie können Einstellungen treffen, um eine grundlegende Fertigungsdatum zu spezifizieren, das sich auf den aktuellen Tag bezieht.","Der Grundtermin ist die geplanten Fertigungszeit eines Auftrags. Sie können Einstellungen machen, um eine grundlegende Fertigungszeit zu spezifizieren, die auf der aktuellen Zeit basiert.","Basic-Finishingsterne ist die geplanten Fertigungszeit eines Bestellanges. Sie können Einstellungen machen, um eine relative Basic-Finishingsterne zu spezifizieren, die auf der aktuellen Zeit basiert.","Basic-Finishingzeit ist die geplanten Fertigungszeit eines Auftrags. Sie können Einstellungen vornehmen, um eine relative Basic-Finishingzeit zu spezifizieren, die auf der aktuellen Zeit basiert.","Basic-Finishingzeit ist die geplanten Fertigungszeit eines Auftrags. Sie können Einstellungen vornehmen, um eine relative Basic-Finishingzeit zu spezifizieren, die auf der aktuellen Zeit basiert.",{'order': 'Auftrag'},"Der Grundtermin ist die geplanten Fertigungszeitpunkt eines Auftrags. Sie können Einstellungen machen, um eine Grundtermin zu spezifizieren, die auf der aktuellen Datei basiert.","Der Grundtermin ist die geplanten Fertigungszeitpunkt eines Auftrags. Sie können Einstellungen machen, um eine Grundtermin zu spezifizieren, die auf der aktuellen Datei basiert."
Color-coding tells you whether the assignment is for an internal project or for a customer project.,"Die Farbkennzeichnung zeigt an, ob der Einsatz für ein internes Projekt oder für ein Kundenprojekt ist.",{'assignment': 'Einsatz'},"Farbenkodierung gibt dir zu wissen, ob das Einsatz für einen intranet-Projekt oder für ein Kundenprojekt ist.",Einsatzinformationen geben Ihnen zuweilen Anhaltspunkte für den Zweck des Einsatzes - ob es sich um einen In-House-Projekt oder ein Kundenprojekt handelt.,"German: Farbierung gibt Ihnen zu erkennen, ob die Zuweisung für einen In-House-Projekt oder für ein Kundenprojekt zustandet.","Terminologie:
Einsatz -> Einsatz

Deutsch: Farbierung gibt Ihnen zu erkennen, ob der Einsatz für ein internes Projekt oder für einen Kundenprojekt ist.","Terminologie:
Einsatz -> Einsatz

Deutsch: Farbierung gibt Ihnen zu erkennen, ob der Einsatz für ein internes Projekt oder für einen Kundenprojekt ist.",{'assignment': 'Einsatz'},"Einsatz wird mit Farbkode angezeigt, um zu bestimmen, ob es sich um einen In-House-Projekt oder ein Kunden-Projekt handelt.","Farbkode gibt dir zu wissen, ob das Aufgabenstellung für einen In-House-Projekt oder für ein Kundenprojekt ist."
The scale type determines whether the scale is a From-scale or a To-scale.,"Der Staffeltyp legt fest, ob die Staffel eine Ab-Staffel oder eine Bis-Staffel ist.",{'type': 'Typ'},"Der Typ des Skalens bestimmt, ob der Skalenumbruch ein von Skalierung oder einem auf Skalierung ist.","Der Typ der Skala bestimmt, ob die Skala ein von Skalierungsmodell ist oder eine zu Skalierungsmodell ist.",Die Skalierungstyp bestimmt zwischen einem von Anfang bis Ende- und einem von Enden bis Anfangskonzept.,"Typ bestimmt, ob der Scale ein von Startwert ausgeschnittener oder ein zu Endwert hinzugefügter Scale ist.","Typ bestimmt, ob der Scale ein von Startwert ausgeschnittener oder ein zu Endwert hinzugefügter Scale ist.",{'type': 'Typ'},"Der Scale-Typ bestimmt, ob der Scale ein von Startwert auf Endwert (From-Scale) oder ein von Endwert auf Startwert (To-Scale) ist.","Der Scale-Typ bestimmt, ob der Scale ein von Startwert auszugebener (From-scale) oder ein zu Endwert eingehender (To-scale) ist."
Review the information you've specified in the steps before and save or publish the release.,"Überprüfen Sie die Informationen, die Sie in den vorherigen Schritten angegeben haben, und speichern oder veröffentlichen Sie das Release.",{'release': 'Release'},"Prüfen Sie die Informationen, die Sie im vorherigen Schritt angegeben haben, und speichern oder veröffentlichen Sie den Release.","Überprüfen Sie die Informationen, die Sie im vorherigen Schritt angegeben haben, und speichern oder veröffentlichen Sie den Release.","Sobald Sie die Informationen nach den vorherigen Schritten überprüft haben und das Abfragen oder das Speichern des Releases bestätigt haben, können Sie das Abfrage- oder Speichern der Release aktivieren.","Gerne! Hier ist die deutsche Übersetzung:

Überprüfen Sie die Informationen, die Sie im vorherigen Schritt angegeben haben und speichern oder veröffentlichen Sie den Release.","Überprüfen Sie die Informationen, die Sie im vorherigen Schritt angegeben haben und speichern oder veröffentlichen Sie den Release.",{'release': 'Release'},"Prüfen Sie die Informationen, die Sie im vorherigen Schritt angegeben haben und speichern oder veröffentlichen Sie den Release.","Prüfen Sie die Informationen, die Sie im vorherigen Schritt angegeben haben und speichern oder veröffentlichen Sie den Release."
"To share the schedule, add one or more people as maintenance planners or reviewers.","Um den Terminplan zu teilen, fügen Sie einen oder mehrere Personen als Instandhaltungsplaner oder Prüfer hinzu.",{'schedule': 'Terminplan'},"Zur Verfügung stellen Sie den Terminplan, indem Sie eine oder mehrere Personen als Planungs- oder Prüferin hinzufügen.","Zur Verfügung stellen Sie den Terminplan zur Verfügung, indem Sie eine oder mehrere Personen als Planungs- oder Prüferin hinzufügen.",Gerne! Bitte geben Sie den deutschen Übersetzungsnachweis ein.,"Gerne! Hier ist die deutsche Übersetzung:

Zum Austauschen des Terminplans fügen Sie bitte einen oder mehrere Personen als Planer oder Überprüfer hinzu.",Zum Austauschen des Terminplans fügen Sie bitte einen oder mehrere Personen als Planer oder Überprüfer hinzu.,{'schedule': 'Terminplan'},Zum Teilen des Terminplans füge eine oder mehrere Personen als Planer oder Überprüfer hinzu.,"Um den Terminplan zu teilen, füge eine oder mehrere Personen als Planer oder Überprüfer hinzu."
"You can do so via the message that is displayed at the top of the monitor until you don't provide your consent, or in your profile settings under Schedule Consent Settings.","Sie können dies über die Meldung tun, die oben im Monitor angezeigt wird, bis Sie Ihre Einwilligung geben, oder in Ihren Profileinstellungen unter Einwilligungseinstellungen für Einplanungen.",{'schedule': 'Planung'},"Sie können dies über das Display des Monitors ansehen, bis Sie Ihre Zustimmung nicht geben, oder im Kontext der Schedule Consent Settings unter Ihren Profil-Einstellungen.","Du kannst das tun, indem du die Nachricht am oberen Monitor sehen und bis du nicht zustimmen möchtest, oder im Kontext von Schedule Consent Settings unter deinen Profil-Einstellungen.",Sie können dies über das Display am oberen Monitor abrufen bis Sie Ihre Zustimmung nicht geben.,"Sie können dies über das Display des Monitors ausführen, bis Sie Ihre Zustimmung nicht geben, oder unter Schedule Consent Settings im Profil-Einstellungen.","Sie können dies über das Display des Monitors ausführen, bis Sie Ihre Zustimmung nicht geben, oder unter Schedule Consent Settings im Profil-Einstellungen.",{'schedule': 'Planung'},"Du kannst das tun über den Nachrichtenansicht am oberen Monitor bis zu dem Zeitpunkt, wenn du deine Zustimmung nicht gibst, oder im Kontext von Planungs-Einstellungen unter der Schaltfläche für die Zustimmung.","Du kannst das tun, indem du die Nachricht am oberen Monitor sehen und deine Zustimmung nicht geben, oder im Kontext von Planung unter Zustimmungs-Einstellungen."
Check the forecasted work center utilization for the schedule period,Prüfen der prognostizierten Arbeitsplatzauslastung für den Terminplanzeitraum,{'schedule': 'Terminplan'},Prüfen Sie die voraussichtlichen Arbeitszentrum-Verwaltung für den Zeitraum des Schedules,Prüfen Sie die voraussichtlichen Arbeitszentrum-Verwaltung für den Zeitraum des Schedules,Geräteverbrauch für den Vorgeschalteten überprüfen,Verwende den vorhersagten Arbeitsplatzverbrauch für die Zeitraumvorhersage,Verwende den vorhersagten Arbeitsplatzverbrauch für die Zeitraumvorhersage,{'schedule': 'Terminplan'},Prüfe die voraussichtlichen Arbeitszentrum-Verwaltung für den Terminplan,Prüfe die voraussichtlichen Arbeitszentrum-Verwaltung für den Terminplan
View the messages that are generated by the system.,"Lassen Sie sich die Nachrichten anzeigen, die vom System generiert wurden.",{'message': 'Nachricht'},"Anzeigen der Nachrichten, die vom System generiert werden.","Nachrichten anzeigen, die vom System generiert wurden.",Systemgenerate Meldungen anzeigen.,"Nachrichten anzeigen, die vom System generiert wurden.","Nachrichten anzeigen, die vom System generiert wurden.",{'message': 'Nachricht'},"Sehen Sie die Nachrichten, die vom System generiert werden.","Anzeigen Sie die Nachrichten, die vom System generiert werden."
Create an Entity Relationship Model,Erstellen von Entity-Relationship-Modellen,{'create': 'erstellen'},Erstellen eines Entity-Relationship-Modells,Erstelle ein Entity-Relation-Schema,Entity-Relational-Diagram erstellen,"Gerne! Hier ist die deutsche Übersetzung:

Erstellen Sie ein Entity-Relationship-Modell",Erstellen Sie ein Entity-Relationship-Modell,{'create': 'erstellen'},Erstelle eine Entity Relationship Model,Erstellen eines Entity-Relationship-Modells
