source,reference,terms,base_basic,base_strong,lora_no_term,lora_basic,lora_basic_cleaned,terms_dict,qwen3b_basic,qwen3b_strong,qwen3b_no_term
In the Capacity Plan Simulation the capacity of the work center is displayed for the defined time period (bucket).,In der Kapazitätsplansimulation wird die Kapazität des Arbeitsplatzes für den festgelegten Zeitraum (Periode) angezeigt.,{'bucket': 'Periode'},In der Kapazitätsplanungs-Simulation wird die Kapazität des Arbeitstisches für die definierte Zeitperiode (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Arbeitstages für die definierte Zeitperiode (Periode) angezeigt.,In der KapazitätsplanungsSimulation wird die Kapazität des Arbeitsplatzes für den definierten Zeitraum (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Work Centers für die definierte Zeitraumperiode (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Work Centers für die definierte Zeitraumperiode (Bucket) angezeigt.,{'bucket': 'Periode'},In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für die definierte Zeitperiode (Periode) angezeigt.,In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Periode) angezeigt.,In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Kanal) angezeigt.
[optional] Click the Actions button on an item to specify filters and sorting as appropriate.,"(Optional) Klicken Sie neben einer Position auf die Schaltfläche Aktionen, um je nach Bedarf Filter und Sortierungen festzulegen.",{'item': 'Position'},"Klicken Sie auf den Button ""Actions"" auf einer Position, um Filter und Sortierung entsprechend zu spezifizieren.",Position -> Position,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Optional: Klicken Sie auf das Symbol für Aktionen auf einer Position, um Filter und Sortierung zu spezifizieren, die erforderlich sind.","Optional: Klicken Sie auf das Symbol für Aktionen auf einer Position, um Filter und Sortierung zu spezifizieren, die erforderlich sind.",{'item': 'Position'},"Klicken Sie auf das Aktionen-Symbol einer Position, um entsprechend Filter und Sortierung zu spezifizieren.","Klicken Sie auf die Aktionen-Button einer Position, um Filter und Sortierung angemessen zu spezifizieren.","Klicken Sie auf das Aktionen-Symbol eines Elements, um entsprechende Filter und Sortierung zu spezifizieren."
The skills match percentage varies depending on whether matching is based exclusively on the resource's skills or whether skills from other assignments are taken into account.,"Die prozentuale Qualifikationsübereinstimmung variiert in Abhängigkeit davon, ob der Abgleich ausschließlich auf den Qualifikationen der Ressource basiert oder ob auch Qualifikationen aus anderen Einsätzen berücksichtigt werden.",{'percentage': 'prozentual'},"Der Prozentsatz der Übereinstimmungen hängt von der Art des Matches ab, ob es sich um einen Match basierend auf den Fähigkeiten des zugewiesenen Auftrags handelt oder um einen Match, bei dem Fähigkeiten aus anderen Aufträgen berücksichtigt werden.","Der Wettbewerbsanteil variiert hingegen je nachdem, ob der Vergleich ausschließlich auf die Fähigkeiten des Matches basiert oder ob Fähigkeiten aus anderen Aufträgen berücksichtigt werden.","Die Matching-Percentuale hängt von der Art ab, wie Sie die Matching-Einstellungen festlegen. Wenn Sie nur auf den Skill des Ressourcen basieren, wird die Matching-Percentuale höher.","Die Prozentsatz-Vergleiche variieren je nachdem, ob die Verwaltung auf der Grundlage der Fähigkeiten des Ressourcen oder auf der Grundlage von Fähigkeiten aus anderen Auftritten abgestimmt wird.","Die Prozentsatz-Vergleiche variieren je nachdem, ob die Verwaltung auf der Grundlage der Fähigkeiten des Ressourcen oder auf der Grundlage von Fähigkeiten aus anderen Auftritten abgestimmt wird.",{'percentage': 'prozentual'},"Die prozentuale Übereinstimmungsrate variiert abhängig davon, ob die Übereinstimmung ausschließlich auf den Fähigkeiten des Ressourcenobjekts basiert oder ob Fähigkeiten aus anderen Aufträgen berücksichtigt werden.","Die prozentuale Übereinstimmungsrate variiert abhängig davon, ob die Übereinstimmung ausschließlich auf den Fähigkeiten des Ressourcenobjekts basiert oder ob Fähigkeiten aus anderen Aufgaben berücksichtigt werden.","Die Prozentzahl der Übereinstimmung der Fähigkeiten variiert abhängig davon, ob die Überprüfung ausschließlich auf den Fähigkeiten des Ressourcenobjekts basiert oder ob Fähigkeiten aus anderen Aufträgen berücksichtigt werden."
[if Enable Compound Triggers = false and Triggers Record Primary Keys Only = false] Triggers Record ROWID Pseudo Column Only,[wenn Zusammengesetzte Auslöser aktivieren = falsch und Löst nur Primärschlüssel für Datensätze aus = falsch] Löst nur Pseudospalte ROWID für Datensatz aus,{'trigger': 'Auslöser'},[Wenn Enable Compound Triggers = false und Triggers Record Primary Keys Only = false] Triggers Record ROWID Pseudo Column Only,Auslöser werden nur die ROWID-Pseudokolumne berücksichtigt.,[Wenn Enable Compound Triggers = false und Triggers Record Primary Keys Only = false] Triggers Record ROWID Pseudo Column Only,"Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn in deutscher Sprache übersetzen.","Gerne! Bitte geben Sie den englischen Text an, und ich werde ihn in deutscher Sprache übersetzen.",{'trigger': 'Auslöser'},"German translation:

[Auslöser = false und Auslöser speichert nur Primärschlüssel = false] Auslöser speichert nur die Pseudokolonne ROWID","Auslöser für Zeilen-ID-Pseudokolonne nur anwenden, wenn Schleifentrigger deaktiviert und nur primäre Schlüsseltrigger aktiviert sind","Triggers nur die ROWID-Pseudokolonne erzeugen, wenn Enable Compound Triggers = false und Triggers Record Primary Keys Only = false"
For more information please see Space Monitoring.,Weitere Informationen finden Sie unter Space-Überwachung.,{'monitoring': 'Überwachung'},Für weitere Informationen siehe Raumüberwachung.,Überwachung für weitere Informationen siehe Raumüberwachung.,Space Monitoring Informationen finden Sie hier.,Space Monitoring.,Space Monitoring.,{'monitoring': 'Überwachung'},Für weitere Informationen bitte sehen Sie auf der Seite zur Überwachung.,Für mehr Informationen bitte sehen Sie auf Überwachung.,Für mehr Informationen bitte sehen Sie sich das Space Monitoring an.
Revoking Access to the Schedule,Zugriff auf den Terminplan entziehen,{'schedule': 'Terminplan'},Entlassung des Zugriffs auf den Terminplan,"Entschuldigung, aber Sie haben keine Übersetzung für ""revoking access to the schedule"" im angegebenen Termin-Liste gefunden. Vielleicht gibt es eine andere Übersetzung oder terminologische Definition?",Verweigerung der Zugriff auf die Planung,Terminplan zurückgeben,Terminplan zurückgeben,{'schedule': 'Terminplan'},Entfernen der Zugriffsrechte zum Terminplan,Berechtigung für Terminplan zu entfernen,Berechtigung zur Schedule zu widerrufen
"Alternatively, select Favorites to show your favorited objects across all spaces.","Alternativ können Sie Favoriten auswählen, um Ihre bevorzugten Objekte in allen Spaces anzuzeigen.",{'space': 'Space'},"Alternativ können Sie Favoriten auswählen, um Ihre favorisierten Objekte auf allen Spaces zu zeigen.","Alternatively, select Favorites to show your favorited objects across all Spaces.",Gerne helfe ich Ihnen gerne!,"Alternatively, select Favoriten, so that you can see your favorite objects in all Spaces.","Alternatively, select Favoriten, so that you can see your favorite objects in all Spaces.",{'space': 'Space'},"Alternativ wählen Sie Favoriten, um die favorisierten Objekte in allen Räumen anzuzeigen.","Alternativ wählen Sie Favoriten, um Ihre favorisierten Objekte in allen Räumen anzuzeigen.","Alternativ wählen Sie Favoriten, um die favorisierten Objekte in allen Räumen anzuzeigen."
Validate your code and update the display of your output structure in the side panel at any time by clicking .,"Validieren Sie Ihren Code, und aktualisieren Sie jederzeit die Anzeige Ihrer Ausgabestruktur im Seitenbereich, indem Sie auf  klicken.",{'side panel': 'Seitenbereich'},Überprüfe dein Code und aktualisiere die Anzeige deines Ausgabestrusts im Seitenbereich jederzeit durch Klicken.,Überprüfen Sie Ihre Code-Implementierung und aktualisieren Sie die Anzeige Ihrer Ausgabestruktur im Seitenbereich jederzeit durch Klicken.,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie auf Deutsch übersetzen.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie übersetzen.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie übersetzen.",{'side panel': 'Seitenbereich'},"Validieren Sie Ihr Code und aktualisieren Sie die Darstellung Ihrer Ausgabestructur im Seitenbereich jederzeit, indem Sie klicken.",Validiere dein Code und aktualisiere die Darstellung deines Ausgabestructurs im Seitenbereich jederzeit durch Klicken.,Validieren Sie ihren Code und aktualisieren Sie die Darstellung Ihrer Ausgabestructur im Seitenleiste jederzeit durch Klicken.
Database Name and Service Name.,Datenbankname oder Servicename.,{'service': 'Service'},Datenbankname und Dienstname.,Datenbankname und Dienstname.,Databasename und Dienstname,Service-Name und Datenbankname.,Service-Name und Datenbankname.,{'service': 'Service'},Database Name und Service Name.,Datenbankname und Service名称.,Datenbankname und Dienstname.
"adding users, connections, and creating open SQL schemas in Space Management is blocked","Hinzufügen von Benutzern, Verbindungen und Erstellung von Open-SQL-Schemas im Space-Management gesperrt",{'blocked': 'gesperrt'},"Hinzufügen von Benutzern, Verbindungen und die Erstellung offener SQL-Schemas im Raumverwaltung ist gesperrt.","Erstellen von Benutzern, Verbindungen und die Erstellung offener SQL-Schemas im Raumverwaltung ist gesperrt.","Space Management: Benutzer hinzufügen, Verbindungen erstellen und Open-SQL-Datenbanken erstellen ist blockiert","Geben Sie Benutzer, Verbindungen und die Erstellung von offenen SQL-Schemas im Raumverwaltung an, ist gesperrt","Geben Sie Benutzer, Verbindungen und die Erstellung von offenen SQL-Schemas im Raumverwaltung an, ist gesperrt",{'blocked': 'gesperrt'},"Hinzufügen von Benutzern, Verbindungen und der Erstellung offener SQL-Schemata im Raummanagement ist gesperrt.","Hinzufügen von Nutzern, Verbindungen und die Erstellung offener SQL-Schemata im Raummanagement ist gesperrt.","Hinzufügen von Benutzern, Verbindungen und die Erstellung offener SQL-Schemata im Raummanagement ist blockiert."
Create a Graphical View,Erstellen von grafischen Views,{'create': 'erstellen'},Erstelle eine Grafische Ansicht,Erstelle eine Grafische Ansicht,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:","Gerne! Hier ist die deutsche Übersetzung:

Gerne! Hier ist die deutsche Übersetzung:",{'create': 'erstellen'},Erstellen Sie eine Grafische Ansicht,Erstellen einer graphischen Ansicht,Erstelle eine graphische Ansicht
You can bookmarks your favorite data products or data providers.,Sie können Ihre bevorzugten Datenprodukte oder Datenprovider mit Lesezeichen versehen.,{'data provider': 'Datenprovider'},Du kannst deine Lieblings-Datenprodukte oder -Provider in Markierungen speichern.,Du kannst deine Lieblingsdatenprodukte oder -Provider eintragen.,Sie können Ihre bevorzugten Datenprodukte oder -Provider in Favoriten speichern.,Sie können Ihre bevorzugten Dataprojekte oder -Provider mit Favoriten verwalten.,Sie können Ihre bevorzugten Dataprojekte oder -Provider mit Favoriten verwalten.,{'data provider': 'Datenprovider'},"Du kannst deine favoriten Datenproviders oder Datenprovider speichern. 

(Note: The term ""Data product"" is not directly translated as it's less commonly used in German. If you want to keep the original meaning, you could use ""Datenprodukte"" instead of ""Datenprovider"".) 

If we stick with the given terminology:

Du kannst deine favoriten Datenprovider speichern.",Du kannst deine Lieblingsdatennachweise oder Datenprovider speichern.,Sie können Ihre favoriten Datenprodukte oder Datenlieferanten favorieren.
Lock a release that has already been published.,"Sperren Sie ein Release, das bereits veröffentlicht wurde.",{'release': 'Release'},Veröffentlichte Release schließen.,"Veröffentlicht worden ist, einen Release verriegeln.","Verbinde einen Release, der bereits veröffentlicht wurde.",Verbinde einen bereits veröffentlichten Release.,Verbinde einen bereits veröffentlichten Release.,{'release': 'Release'},Verlagerne eine bereits veröffentlichte Release.,Verbinden Sie eine bereits veröffentlichte Release.,Eine veröffentlichte Release sperren.
"When you apply your data access control to a view, you must map each output column to an appropriate column in the view.","Wenn Sie Ihre Datenzugriffskontrolle auf einen anderen View anwenden, müssen Sie jede Ausgabespalte einer entsprechenden Spalte im View zuordnen.",{'access control': 'Zugriffskontrolle'},"Wenn Sie Ihre Datenzugriffsverwaltung auf eine View anwenden, müssen Sie jede Ausgabecolumn der Anwendung zu einer entsprechenden Spalte in der View mappen.","Wenn Sie Ihre Datenzugriffssteuerung auf eine View angewendet haben, müssen Sie jede Ausgabecolumn im View entsprechend zuordnen.","Wenn Sie Ihre Datenzugriffssteuerung für eine View anwenden, müssen Sie jede Ausgabecolumn der View entsprechend zu einem passenden Spalten in der View mappen.","Wenn Sie Ihre Datenzugriffsverwaltung für eine View anwenden, müssen Sie jede Ausgabecolumn der View entsprechend zu einem korrekten Spaltennamen mappen.","Wenn Sie Ihre Datenzugriffsverwaltung für eine View anwenden, müssen Sie jede Ausgabecolumn der View entsprechend zu einem korrekten Spaltennamen mappen.",{'access control': 'Zugriffskontrolle'},"Wenn Sie Ihre Zugriffskontrolle auf eine Ansicht anwenden, müssen Sie jede Ausgabecolumn zu einer passenden Spalte in der Ansicht zuordnen.","Wenn Sie Ihre Zugriffskontrolle auf eine Ansicht anwenden, müssen Sie jede Ausgabecolumn zu einer passenden Spalte in der Ansicht zuordnen.","Wenn Sie Ihre Datenzugriffssteuerung auf eine Ansicht anwenden, müssen Sie jede Ausgabecolumn zu einer passenden Spalte in der Ansicht zuordnen."
Make sure to select a deployed data access control to have access to data preview.,"Stellen Sie sicher, dass Sie eine implementierte Datenzugriffskontrolle auswählen, um Zugriff auf die Datenvorschau zu erhalten.",{'access control': 'Zugriffskontrolle'},"Zögern Sie nicht, eine bereitgestellte Datenzugriffsverwaltung auszuwählen, um Zugriff auf Datenschaueinsicht zu haben.","Zugriffskontrolle auswählen, um Datenprägung zu haben.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Sobald Sie eine ausgeführte Datenzugriffsverwaltung auswählen, haben Sie Zugriff auf die Datenansicht.","Sobald Sie eine ausgeführte Datenzugriffsverwaltung auswählen, haben Sie Zugriff auf die Datenansicht.",{'access control': 'Zugriffskontrolle'},"Stellen Sie sicher, dass eine bereitgestellte Datenzugriffskontrolle ausgewählt wird, um einen Datenvorschau-Zugriff zu haben.","Stellen Sie sicher, dass Sie eine bereitgestellte Datenzugriffskontrolle auswählen, um einen Datenvorschauzugriff zu haben.","Stellen Sie sicher, dass Sie einen bereitgestellten Datenzugriffskontrolle auswählen, um eine Datenvorschau zu haben."
"On choosing the Explode BOM button, the Selection Criteria for BOM Explosion dialog box appears.","Wenn Sie die Drucktaste Stückliste auflösen wählen, gelangen Sie auf das Dialogfenster Selektionskriterien für Stücklistenauflösung.",{'selection': 'Selektion'},"Die Selektion des Buttons ""Explode BOM"" zeigt die Dialogbox für die Selektion der BOM-Explosion an.",Die Selektion der BOM-Explodier-Schaltfläche zeigt die Dialogbox für die BOM-Explodier-Kriterien an.,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Deutsch: Wenn Sie den Button ""Explode BOM"" auswählen, erscheint das Dialogfeld für die Auswertung der Auswahl für die BOM-Explosion.","Deutsch: Wenn Sie den Button ""Explode BOM"" auswählen, erscheint das Dialogfeld für die Auswertung der Auswahl für die BOM-Explosion.",{'selection': 'Selektion'},"Während der Auswahlbefehl ""Explode BOM"" gedrückt wird, erscheint die Dialogbox ""Selektion der Explosionskriterien für den BOM"".",Mit dem Klick auf den Explode BOM-Button erscheint die Selektionsempfindlichkeitsdialogfeld für das BOM-Ausblasen.,当选择拆解BOM按钮时，BOM拆解选择条件对话框将出现。
You can create new objects directly from the Business Catalog so that you can continuously work even if entities are not found in the Catalog.,"Sie können neue Objekte direkt aus dem Business-Katalog heraus erstellen, sodass Sie auch dann fortlaufend arbeiten können, wenn im Katalog keine Entitäten gefunden werden.",{'create': 'erstellen'},"Sie können neue Objekte direkt aus dem Geschäfts-Katalog erstellen, sodass Sie sich immer weiterarbeiten können, selbst wenn keine Einträge im Katalog vorhanden sind.","Erstelle Sie neue Objekte direkt aus dem Geschäfts-Katalog, damit Sie sich immer weiterarbeiten können, wenn keine Elemente im Katalog vorhanden sind.","Sie können neue Objekte direkt aus dem Geschäfts-Katalog erstellen, sodass Sie sich immer weiterarbeiten können, wenn keine Elemente im Katalog gefunden werden.","Gerne! Hier ist die deutsche Übersetzung:

Sie können neue Objekte direkt aus dem Geschäfts-Katalog erstellen, sodass Sie sich immer weiterarbeiten können, wenn keine Elemente im Katalog gefunden werden.","Sie können neue Objekte direkt aus dem Geschäfts-Katalog erstellen, sodass Sie sich immer weiterarbeiten können, wenn keine Elemente im Katalog gefunden werden.",{'create': 'erstellen'},"Sie können neue Objekte direkt aus dem Geschäftskatalog erstellen, sodass Sie kontinuierlich arbeiten können, selbst wenn die Entitäten im Katalog nicht gefunden werden.","Du kannst neue Objekte direkt aus dem Geschäftskatalog erstellen, so dass du kontinuierlich arbeiten kannst, wenn Entitäten im Katalog nicht gefunden werden.","Sie können neue Objekte direkt aus dem Geschäftskatalog erstellen, sodass Sie ununterbrochen arbeiten können, selbst wenn die Entitäten im Katalog nicht gefunden werden."
Validity period of the text block,Gültigkeitszeitraum des Textblocks,{'validity period': 'Gültigkeitszeitraum'},Gültigkeitszeitraum des Textblocks,Gültigkeitszeitraum des Textblocks,Validität des Textblocks,Gültigkeitszeitraum des Textblocks,Gültigkeitszeitraum des Textblocks,{'validity period': 'Gültigkeitszeitraum'},Gültigkeitszeitraum des Textabschnitts,Gültigkeitszeitraum des Textabschnitts,Gültigkeitsdauer des Textabschnitts
Displays the remote source transaction.,Zeigt die Remote-Quellen-Transaktion an.,{'source': 'Quelle'},Zeigt die entfernte Quell-Transaktion an.,Zeigt die entfernte Quelltransaktion an.,Zeigt die entfernte Quelltransaktion an.,Quellentransaktion anzeigen,Quellentransaktion anzeigen,{'source': 'Quelle'},Displayiert die Quelle-Remote-Transaktion.,Zeigt die Fernquelletransaktion.,Zeigt die entfernte Quelltransaktion.
Integrate an account with your space to be able to create connections for connector instances.,"Integrieren Sie ein Konto in Ihren Space, um Verbindungen für Konnektorinstanzen erstellen zu können.",{'connector': 'Konnektor'},"Verbinde eine Konto mit deinem Raum, um Connector-Instanzen zu erstellen.","Integriere ein Konto mit deinem Raum, um Verbindungen für Connector-Instanzen zu erstellen.","Integriere einen Account mit deinem Raum, um Koppeln für Connector-Instanzen zu erstellen.","Integriere einen Account mit deinem Raum, um Konnektorkonfigurationen zu erstellen.","Integriere einen Account mit deinem Raum, um Konnektorkonfigurationen zu erstellen.",{'connector': 'Konnektor'},"Integriere eine Kontoverbindung mit deinem Raum, um Verbindungen für Konnektoren zu erstellen.","Integriere eine Konto mit deinem Raum, um Verbindungen für Konnektoren-Instanzen zu erstellen.","Integriere eine Kontoverbindung mit deinem Raum, um Verbindungen für Connectorinstanzen zu erstellen."
"After registering the activation key, they can perform all data provider tasks.",Nach der Registrierung des Aktivierungsschlüssels können sie alle Aufgaben des Datenproviders ausführen.,{'data provider': 'Datenprovider'},Nach der Registrierung des Aktivierungsschlüssels können sie alle Datenprovideraufgaben ausführen.,Nach der Registrierung des Aktivierungsschlüssels können sie alle Tasks des Datenproviders ausführen.,Nach der Registrierung des Aktivierungsschlüssels können sie alle Datenverwaltungsaufgaben ausführen.,Nach der Registrierung des Aktivierungsschlüssels können sie alle Datenprovider-Arbeitsaufgaben ausführen.,Nach der Registrierung des Aktivierungsschlüssels können sie alle Datenprovider-Arbeitsaufgaben ausführen.,{'data provider': 'Datenprovider'},Nach der Registrierung des Aktivierungskeys können sie alle Aufgaben des Datenproviders ausführen.,Nach der Registrierung des Aktivierungskeys können sie alle Aufgaben des Datenproviders ausführen.,Nach der Registrierung des Aktivierungskeys können sie alle Aufgaben des Datenanbieters ausführen.
"All maintenance planners have full permissions and can modify, share, or delete the schedule.","Alle Instandhaltungsplaner verfügen über volle Berechtigungen und können den Terminplan ändern, freigeben oder löschen.",{'schedule': 'Terminplan'},"Alle Planungspläne haben Vollzugriff und können den Terminplan bearbeiten, teilen oder löschen.","Alle Planungsplatten haben Vollzugriff und können den Terminplan bearbeiten, teilen oder löschen.","Alles Maintenance-Planer haben Vollzugriff und können die Planung bearbeiten, teilen oder löschen.","Alle Planer haben Vollzugriff und können die Scheduling bearbeiten, teilen oder löschen.","Alle Planer haben Vollzugriff und können die Scheduling bearbeiten, teilen oder löschen.",{'schedule': 'Terminplan'},"Alle Terminplaner haben vollständige Berechtigungen und können den Terminplan ändern, teilen oder löschen.","Alle Terminplaner haben vollständige Berechtigungen und können den Terminplan bearbeiten, teilen oder löschen.","Alle Wartungsplaner haben vollständige Berechtigungen und können den Kalender bearbeiten, teilen oder löschen."
"The intent of this user is to support where ordinary database users lack the required privileges and, thus, should only be created when a specific task is required.","Dieser Benutzer dient in Fällen, in denen normale Datenbankbenutzer nicht über die erforderlichen Berechtigungen verfügen, als Unterstützung und sollte deshalb nur für bestimmte Aufgaben erstellt werden.",{'support': 'Unterstützung'},"Die Absicht dieses Nutzers ist es, Unterstützung zu bieten, bei der normalerweise Datenbankbenutzer die erforderlichen Rechte besitzen und somit nur erstellt werden sollten, wenn ein spezifisches Aufgabensetzung erforderlich ist.","Die Absicht dieses Nutzers ist es, Unterstützung zu bieten, bei der normalerweise Datenbankbenutzer die erforderlichen Berechtigungen fehlen und somit nur erstellt werden sollten, wenn ein spezifisches Aufgabensetzung erforderlich ist.","Der Benutzerinhalt dieser Anwendung soll unterstützen, wenn die erforderlichen Berechtigungen von normalen Datenbankbenutzern fehlen und daher nur dann erstellt werden, wenn ein spezifisches Aufgabenbereich erforderlich ist.","Support ist hierbei der Zweck, wenn normale Datenbankbenutzer die erforderlichen Berechtigungen nicht haben und daher nur dann erstellt werden sollten, wenn ein spezifisches Aufgabenbereich erfordert wird.","Support ist hierbei der Zweck, wenn normale Datenbankbenutzer die erforderlichen Berechtigungen nicht haben und daher nur dann erstellt werden sollten, wenn ein spezifisches Aufgabenbereich erfordert wird.",{'support': 'Unterstützung'},"Die Absicht dieses Nutzers besteht darin, Unterstützung zu gewähren, wenn allgemeine Datenbanknutzer nicht die erforderlichen Berechtigungen haben und daher nur erstellt werden sollten, wenn eine spezifische Aufgabe notwendig ist.","Die Absicht dieses Nutzers ist es, Unterstützung zu gewähren, wo allgemeine Datenbanknutzer die erforderlichen Berechtigungen nicht haben und daher nur erstellt werden sollten, wenn eine spezifische Aufgabe erforderlich ist.","Die Absicht dieses Nutzers ist es, Orte zu unterstützen, an denen gewöhnliche Datenbanknutzer die erforderlichen Berechtigungen nicht haben und daher nur erstellt werden sollten, wenn eine spezifische Aufgabe erforderlich ist."
Sequence Cache Size,Parameter für Sequenz-Cache-Größe,{'sequence': 'Sequenz'},Sequenzcache Größe,Sequenz-Kachegröße,Gerätecache Größe,Sequenzcache Größe,Sequenzcache Größe,{'sequence': 'Sequenz'},Sequenz-Cache-Größe,Sequenz-Cache-Größe,Sequenzspeichersize
Narrow down the list of operations based on their work center.,Sie können die Vorgangsliste basierend auf ihrem Arbeitsplatz eingrenzen.,"{'work center': 'Arbeitsplatz', 'operation': 'Vorgang'}",Narrowen Sie die Liste der Vorgänge nach ihrem Arbeitsplatz.,Arbeite die Liste der Operationen basierend auf ihrem Arbeitsplatz weiterhin zusammenfassen.,Narrowen Sie die Liste der Operationen auf ihre Arbeitsabteilung.,Narrow down the list of operations based on their work center.,Narrow down the list of operations based on their work center.,"{'work center': 'Arbeitsplatz', 'operation': 'Vorgang'}",Nehmen Sie die Liste der Vorgänge auf der Basis ihres Arbeitsplatzes zusammenfassen.,Nehmen Sie die Liste der Vorgänge auf der Basis des Arbeitsplatzes zusammenfassen.,Nehmen Sie die Liste der Operationen auf der Basis ihrer Werkzelle zusammenfassen.
"Providing comprehensive information about Data Category, Industry, SAP Application, or Regional Coverage when creating a data provider profile ensures that consumers can find your provider page and your data products tagged with this information in the Data Marketplace.","Wenn Sie beim Erstellen eines Datenprovider-Profils umfassende Informationen über Datenkategorie, Branche, SAP-Anwendung oder regionale Abdeckung bereitstellen, stellen Sie sicher, dass die Benutzer Ihre Provider-Seite und Ihre Datenprodukte, die mit diesen Informationen getaggt sind, auf dem Data Marketplace finden.",{'data provider': 'Datenprovider'},"Die Bereitstellung von umfassenderen Informationen über die Datentypen, den Industriebereich, dem SAP-Anwendungsmodell oder der Regionale Überwachung bei der Erstellung einer Datenproviderprofilierung sorgt dafür, dass Käufer Ihre Provider-Seite finden und Ihre Datenprodukte mit dieser Information im Data-Markttaggen.","Sollten eine Quelltermine im englischen Satz vorkommen, verwenden Sie den exakten deutschen Zieltermin aus dem Termin-Liste:

Datenprovider","Sobald Sie eine Datenleistung mit vollständiger Information über die Datenkategorie, dem Industriezweig, der SAP-Anwendung oder der Regionale Überwachung erstellen, können Nutzer Ihre Leistungsseite finden und Ihren Datensätzen diese Informationen anhängen, die im Datenmarkt taggiert sind.","Verfügbare Informationen zu den Datentypen, dem Industriebereich, dem SAP-App-Bereich oder der Regionale Überwachung, wenn Sie ein Datenproviderprofil erstellen, ermöglichen es den Benutzern, Ihre Provider-Seite und Ihre Datenprodukte mit dieser Information zu finden, die im Datenmarkt gekennzeichnet sind.","Verfügbare Informationen zu den Datentypen, dem Industriebereich, dem SAP-App-Bereich oder der Regionale Überwachung, wenn Sie ein Datenproviderprofil erstellen, ermöglichen es den Benutzern, Ihre Provider-Seite und Ihre Datenprodukte mit dieser Information zu finden, die im Datenmarkt gekennzeichnet sind.",{'data provider': 'Datenprovider'},"Erstelle eine Datenprovider-Profilinformation mit umfassender Informationen zu den Datenkategorien, dem Branchenbereich, der SAP-Anwendung oder dem regionalen Umfang, um sicherzustellen, dass die Nutzer Ihren Provider-Seite auf der Datenhandelsplattform und Ihre Datenprodukte unter dieser Information finden können.","Erbringen Sie umfassende Informationen zum Datenbereich, Industrie, SAP-Anwendung oder Regionale Deckung bei der Erstellung eines Datenanbieterprofils gewährleistet, dass Konsumenten Ihren Anbieterseite zugegriffen und Ihre Datenprodukte mit dieser Information gekennzeichnet im Datenhandel finden können.","Stellen Sie bei der Erstellung des Datendienstleisterprofils detaillierte Informationen zur Datenkategorie, zum Branchenbereich, zur SAP-Anwendung oder zur Regionale Deckung bereit, um sicherzustellen, dass Nutzer Ihren Dienstleisterseiten auf der Datenhandelsplattform und Ihre Datenprodukte mit dieser Information gekennzeichnet finden können."
"At the end of the longest configured residence period, the data is blocked or deleted.",Nach Ablauf der längsten Residenzzeit werden die Daten gesperrt oder gelöscht.,{'residence period': 'Residenzzeit'},Ende der längsten konfigurierten Residenzzeit werden Daten blockiert oder gelöscht.,"At the end of the longest configured residence period, the data is blocked or deleted.",Endlich nach dem längsten konfigurierten Aufenthaltszeitraum werden die Daten blockiert oder gelöscht.,Ende der längsten konfigurierten Residenzzeit wird die Daten blockiert oder gelöscht.,Ende der längsten konfigurierten Residenzzeit wird die Daten blockiert oder gelöscht.,{'residence period': 'Residenzzeit'},Am Ende der längsten konfigurierten Residenzzeit ist das Datenmaterial gesperrt oder gelöscht.,Am Ende der längsten konfigurierten Residenzzeit ist das Datenblatt blockiert oder gelöscht.,Am Ende der längsten konfigurierten Aufenthaltszeit ist das Datenblatt blockiert oder gelöscht.
