source,reference,terms,base_basic,base_strong,lora_no_term,lora_basic,lora_basic_cleaned,terms_dict,qwen3b_basic,qwen3b_strong,qwen3b_no_term,qwen3b_selected_source,qwen3b_selected,qwen3b_selected_term_coverage,random_terms_dict,qwen3b_random,selected_missing_terms,num_missing_selected,qwen3b_selected_repaired,repaired_missing_terms,num_missing_repaired,qwen3b_definition_prompt,lora_cleaned_missing_terms,num_missing_lora_cleaned,lora_basic_cleaned_repaired,lora_repaired_missing_terms,num_missing_lora_repaired
Expand rows to show the distribution of assignments for resources,"Zeilen aufklappen, um die Verteilung der Einsätze für Ressourcen anzuzeigen",{'expand': 'aufklappen'},"Ablagezeilen ausdehnen, um die Aufteilung von Aufgaben für Ressourcen zu zeigen",Auffrischen der Zeilen um die Verteilung von Aufgaben für Ressourcen zu zeigen,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","German: Aufklappen Sie Zeilen, um die Zuordnungsdistribution für Ressourcen zu sehen","German: Aufklappen Sie Zeilen, um die Zuordnungsdistribution für Ressourcen zu sehen",{'expand': 'aufklappen'},Aufklappen der Zeilen zur Anzeige der Verteilung der Aufträge für Ressourcen,Aufklappen der Zeilen zur Anzeige der Zuweisungsverteilung für Ressourcen,"Zeilen ausweitern, um die Zuweisung von Ressourcen zu zeigen",qwen3b_strong,Aufklappen der Zeilen zur Anzeige der Zuweisungsverteilung für Ressourcen,1.0,{'expand': 'erstellen'},"Erstellen Sie Zeilen, um die Verteilung der Aufträge für Ressourcen zu zeigen.",{},0,Aufklappen der Zeilen zur Anzeige der Zuweisungsverteilung für Ressourcen,{},0,Aufklappen der Zeilen zur Anzeige der Zuweisungsverteilung für Ressourcen,{},0,"German: Aufklappen Sie Zeilen, um die Zuordnungsdistribution für Ressourcen zu sehen",{},0
You can create different versions of an object in the Business Builder.,Sie können im Business Builder verschiedene Versionen eines Objekts erstellen.,{'create': 'erstellen'},Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,Erstelle verschiedene Versionen eines Objekts im Geschäfts-Baum.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,{'create': 'erstellen'},Du kannst verschiedene Versionen eines Objekts im Business Builder erstellen.,Du kannst verschiedene Versionen eines Objekts im Business Builder erstellen.,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,qwen3b_strong,Du kannst verschiedene Versionen eines Objekts im Business Builder erstellen.,1.0,{'create': 'Zeitplan'},"Mit dem Terminologie-Verwendung ""Zeitplan"" für ""create"", würde ich den englischen Satz wie folgt übersetzen:

Du kannst verschiedene Versionen eines Objekts im Zeitplan erstellen.

Alternativ könnte man auch ""Objekt"" explizit benennen, um die Übersetzung klarer zu gestalten:

Du kannst verschiedene Versionen eines Objekts im Zeitplan hinzufügen.",{},0,Du kannst verschiedene Versionen eines Objekts im Business Builder erstellen.,{},0,Du kannst verschiedene Versionen eines Objekts im Business Builder erstellen.,{},0,Sie können verschiedene Versionen eines Objekts im Business Builder erstellen.,{},0
Red is a hot space running high on memory.,"Rot deutet auf einen Space hin, der viel Speicherplatz benötigt.",{'space': 'Platz'},Rot ist ein heißer Platz mit hohem Speicherbedarf.,Rot ist ein heißer Platz mit hohem Speicherverbrauch.,Red ist ein Hot Space mit hoher Speicherspanne.,Platz ist ein heißer Raum mit einem hohen Speicherbedarf.,Platz ist ein heißer Raum mit einem hohen Speicherbedarf.,{'space': 'Platz'},"Rot ist ein großplatz mit hohem Speicherbedarf. 

(Note: The term ""hot space"" in this context might not have an exact equivalent in German, so I've used ""großplatz"" which can mean both ""large place"" or ""hot spot"" in a technical sense. ""Speicherbedarf"" (memory requirement) is used to convey the concept of ""high on memory."")",Rot ist ein großplatz mit hohem Speicherbedarf.,Rot ist ein Hot-Space mit hohem Speicherkapazität.,qwen3b_strong,Rot ist ein großplatz mit hohem Speicherbedarf.,1.0,{'space': 'Auswahl'},Rot ist eine große Auswahl mit hohem Speicherbedarf.,{},0,Rot ist ein großplatz mit hohem Speicherbedarf.,{},0,Rot ist ein Platz mit hohem Speicherbedarf.,{},0,Platz ist ein heißer Raum mit einem hohen Speicherbedarf.,{},0
"To create a new data provider profile, click Create Data Provider Profile.","Um ein neues Datenprovider-Profil zu erstellen, klicken Sie auf Datenprovider-Profil erstellen.","{'data provider': 'Datenprovider', 'create': 'erstellen'}",Erstelle ein neues Profil des Datenproviders.,Erstelle ein neues Profil des Datenproviders und klicke auf Erstellen.,"Gerne! Hier ist die deutsche Übersetzung:

Erstellen Sie ein neues Profil für einen Datenverleiher, indem Sie das Schließen von Datenverleih-Profil auswählen.","Erstellen Sie ein neues Profil für einen Datenprovider, indem Sie das Feld Erstellen auswählen.","Erstellen Sie ein neues Profil für einen Datenprovider, indem Sie das Feld Erstellen auswählen.","{'data provider': 'Datenprovider', 'create': 'erstellen'}","Um einen neuen Datenprovider-Profil zu erstellen, klicken Sie auf Erstellen des Datenprovider-Profil. 

Note: The term ""Datenprovider-Profil"" is used here as it's more natural in German to combine the noun with the adjective (e.g., ""Datenprovider-Profil"" instead of ""Datenprovider-Profil""). However, if you prefer to keep it as separate words, you can say ""Erstellen eines Datenprovider-Profil.""","Um einen neuen Datenprovider-Profil zu erstellen, klicken Sie auf Erstellen des Datenprovider-Profiles.","Um eine neue Datenlieferanteneintrag zu erstellen, klicken Sie auf Erstellen von Datenlieferanteneintrag.",qwen3b_strong,"Um einen neuen Datenprovider-Profil zu erstellen, klicken Sie auf Erstellen des Datenprovider-Profiles.",1.0,"{'data provider': 'erstellen', 'create': 'Überwachung'}","Um eine neue Datenquelle-Profil zu erstellen, klicken Sie auf Erstellen von Datenquelle-Profil. 

Note: The provided terminology does not directly translate to ""data provider"" or ""create"". However, I've used ""Datenquelle-Profil"" for ""data provider profile"" and ""Erstellen"" for ""create"", which are common terms in German for these concepts. If you have specific terminology that should be used, please provide them.",{},0,"Um einen neuen Datenprovider-Profil zu erstellen, klicken Sie auf Erstellen des Datenprovider-Profiles.",{},0,"Um einen neuen Datenprovider-Profil zu erstellen, klicken Sie auf Erstellen von Datenprovider-Profil.",{},0,"Erstellen Sie ein neues Profil für einen Datenprovider, indem Sie das Feld Erstellen auswählen.",{},0
For a step-by-step guide to create an SAP ticket and enable the machine learning libraries take a look at this SAP Knowledge Base Article:,Eine Schritt-für-Schritt-Anleitung zum Erstellen einer SAP-Meldung und zum Aktivieren der Machine-Learning-Bibliotheken finden Sie im folgenden SAP Knowledge Base Article:,"{'Machine Learning': 'Machine Learning', 'machine learning': 'Machine Learning', 'Knowledge Base': 'Knowledge Base', 'knowledge base': 'Knowledge-Base', 'create': 'erstellen'}",Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Tickets und zur Aktivierung der maschinelle Lernbibliotheken siehe dieses SAP-Knowhow-Buchstabe:,"Sollte ein Quellterm im Englischen vorkommen, verwenden Sie den exakten deutschen Zielterm aus der Terminologieliste.

Terminologie:
Machine Learning -> Machine Learning
Knowledge Base -> Knowledge-Base
create -> erstellen

Deutsch: Für eine Schritt-für-Schritt-Anleitung zur Erstellung eines SAP-Tickets und zum Aktivieren der Maschinelles Lernen-Libraries seien Sie auf diese SAP-Knowledge Base-Artikel verwiesen.",SAP Tickets erstellen und die Maschinelles Lernen-Unterstützung aktivieren – Hierbei ist ein Schritt-für-Schritt-Anleitung zu finden.,SAP Ticket erstellen und die Bibliotheken des Machine Learning aktivieren können Sie hier finden: SAP-Knowledge Base Artikel:,SAP Ticket erstellen und die Bibliotheken des Machine Learning aktivieren können Sie hier finden: SAP-Knowledge Base Artikel:,"{'Machine Learning': 'Machine Learning', 'machine learning': 'Machine Learning', 'Knowledge Base': 'Knowledge Base', 'knowledge base': 'Knowledge-Base', 'create': 'erstellen'}","Um eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Berichts und der Aktivierung der Machine-Learning-Bibliotheken zu erhalten, schauen Sie sich diesen SAP-Kenntnisbase-Artikel an:",Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Berichts und zur Aktivierung der Maschinelles Lernen-Libraries schauen Sie sich diesen SAP-Kenntnisbase-Artikel an:,Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Tickets und der Aktivierung der Maschinenlernen-Bibliotheken schauen Sie sich diesen SAP-Kenntnisbase-Artikel an:,qwen3b_strong,Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Berichts und zur Aktivierung der Maschinelles Lernen-Libraries schauen Sie sich diesen SAP-Kenntnisbase-Artikel an:,0.2,"{'Machine Learning': 'Zinsrechnung', 'machine learning': 'übertragen', 'Knowledge Base': 'Auslöser', 'knowledge base': 'Upload', 'create': 'Compliance'}","Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Berichts und zur Aktivierung der Zinsrechnungslibraries schauen Sie sich diesen SAP-Auslöser an:

Terminologie:
Machine Learning -> Übertragen
machine learning -> Übertragen
Knowledge Base -> SAP-Auslöser
knowledge base -> Upload
create -> Compliance","{'Machine Learning': 'Machine Learning', 'machine learning': 'Machine Learning', 'Knowledge Base': 'Knowledge Base', 'knowledge base': 'Knowledge-Base'}",4,Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Tickets und zur Aktivierung der Machine Learning-Libraries schauen Sie sich diesen SAP-Knowledge-Base-Artikel an:,{'Knowledge Base': 'Knowledge Base'},1,Für eine Schritt-für-Schritt-Anleitung zum Erstellen eines SAP-Berichts und der Aktivierung der Machine-Learning-Bibliotheken schauen Sie sich diesen SAP-Kenntnisbasis-Artikel an:,{'knowledge base': 'Knowledge-Base'},1,SAP Ticket erstellen und die Bibliotheken des Machine Learning aktivieren können Sie hier finden: Knowledge-Base-Artikel von SAP:,{'Knowledge Base': 'Knowledge Base'},1
You can use the interactive tiles above the table to filter by download history and statistic numbers like the publishing status and the visibility.,"Sie können die interaktiven Kacheln oberhalb der Tabelle verwenden, um nach Download-Verlauf und statistischen Zahlen wie dem Veröffentlichungsstatus und der Sichtbarkeit zu filtern.",{'history': 'Verlauf'},"Du kannst die interaktiven Tile über dem Tabellebereich verwenden, um den Downloadverlauf und Statistiken wie der Veröffentlichungsstatus und die Sichtbarkeit zu filtern.","Du kannst die interaktiven Tile über dem Tabelle bearbeiten, um nach der Download-Verlauf und Statistik wie dem Veröffentlichungsstatus und der Sichtbarkeit zu filtern.","Sie können die interaktiven Tile über der Tabelle verwenden, um nach Downloads und Statistik wie dem Veröffentlichungsstatus und der Sichtbarkeit zu filtern.","Verwenden Sie die interaktiven Tile im oberen Bereich der Tabelle, um den Verlauf des Downloads und Statistiken wie dem Status der Veröffentlichung und der Sichtbarkeit zu filtern.","Verwenden Sie die interaktiven Tile im oberen Bereich der Tabelle, um den Verlauf des Downloads und Statistiken wie dem Status der Veröffentlichung und der Sichtbarkeit zu filtern.",{'history': 'Verlauf'},"Sie können die interaktiven Blöcke über dem Tisch verwenden, um den Downloadverlauf und Statistiken wie der Veröffentlichungsstatus und der Sichtbarkeit nachzuvollziehen.","Du kannst die interaktiven Blöcke über dem Tisch verwenden, um den Filtern nach Verlauf und Statistiken wie der Veröffentlichungsstatus und der Sichtbarkeit zu unterstellen.","Sie können die interaktiven Blöcke über dem Tisch verwenden, um nach Download-Historien und Statistiken wie Veröffentlichungsstatus und Sichtbarkeit zu filtern.",qwen3b_strong,"Du kannst die interaktiven Blöcke über dem Tisch verwenden, um den Filtern nach Verlauf und Statistiken wie der Veröffentlichungsstatus und der Sichtbarkeit zu unterstellen.",1.0,{'history': 'Prüfer'},"Du kannst die interaktiven Blöcke über dem Tisch verwenden, um nach Download-Prüfereignissen und Statistiken wie der Veröffentlichungsstatus und der Sichtbarkeit zu filtern.",{},0,"Du kannst die interaktiven Blöcke über dem Tisch verwenden, um den Filtern nach Verlauf und Statistiken wie der Veröffentlichungsstatus und der Sichtbarkeit zu unterstellen.",{},0,"Du kannst die interaktiven Blöcke über der Tabelle verwenden, um nach Downloadverlauf und Statistiken wie Veröffentlichungsstatus und Sichtbarkeit zu filtern.",{},0,"Verwenden Sie die interaktiven Tile im oberen Bereich der Tabelle, um den Verlauf des Downloads und Statistiken wie dem Status der Veröffentlichung und der Sichtbarkeit zu filtern.",{},0
The file system must be provided.,Das Dateisystem muss angegeben werden.,{'provided': 'angegeben'},Der Dateisystem muss angegeben werden.,Der Dateisystem muss angegeben werden.,Gerne! Bitte geben Sie den deutschen Übersetzungssatz an.,Geräteverwaltung muss angegeben werden.,Geräteverwaltung muss angegeben werden.,{'provided': 'angegeben'},Der Dateisystem muss angegeben sein.,Der Dateisystem muss angegeben werden.,Der Dateisystem muss bereitgestellt werden.,qwen3b_strong,Der Dateisystem muss angegeben werden.,1.0,{'provided': 'Typ'},Der Dateisystemtyp muss bereitgestellt werden.,{},0,Der Dateisystem muss angegeben werden.,{},0,Der Dateisystem muss angegeben sein.,{},0,Geräteverwaltung muss angegeben werden.,{},0
Data updates can be delivered by the data provider.,Datenaktualisierungen können vom Datenprovider bereitgestellt werden.,{'data provider': 'Datenprovider'},Datenupdates können vom Datenprovider verteilt werden.,Datenupdates können vom Datenprovider geliefert werden.,Data-updates können vom Daten-Provider übermittelt werden.,Data-updates können vom Datenprovider übermittelt werden.,Data-updates können vom Datenprovider übermittelt werden.,{'data provider': 'Datenprovider'},Die Datenupdates können vom Datenanbieter übermittelt werden.,Datenupdates können vom Datenanbieter übermittelt werden.,Datenupdates können vom Datenlieferanten bereitgestellt werden.,qwen3b_strong,Datenupdates können vom Datenanbieter übermittelt werden.,0.0,{'data provider': 'zurücksetzen'},"Die Daten können vom Datenlieferanten zurückgesetzt werden. 

Note: The term ""backed up"" is not directly equivalent to ""data provider"" in this context, so I've used ""rückgesetzt"" (backed up) as per your instruction, but it's important to clarify that this might not be the most accurate translation for ""data provider."" If you want to stick strictly with your provided terminology, we would need to find an appropriate term for ""data provider"" that fits the context of backing up or updating data.",{'data provider': 'Datenprovider'},1,Datenupdates können vom Datenprovider übermittelt werden.,{},0,Datenupdates können von dem Datenanbieter übermittelt werden.,{},0,Data-updates können vom Datenprovider übermittelt werden.,{},0
"Spaces are environments that bring data models, connections, compute and storage resources together for a specific line of business or use-case.","Bei Spaces handelt es sich um Umgebungen, die Datenmodelle, Verbindungen und Rechen- und Speicherressourcen für einen bestimmten Geschäftsbereich oder einen spezifischen Anwendungsfall zusammenführen.","{'line of business': 'Geschäftsbereich', 'storage': 'Speicher'}","Räume sind Umgebungen, in denen Datenmodelle, Verbindungen, Rechen- und Speicherressourcen für ein spezifisches Geschäftsbereich oder Anwendungszweck zusammengefasst werden.","Gehäuse sind Umgebungen, die Datenmodelle, Verbindungen, Rechen- und Speicherressourcen für ein spezifisches Geschäftsbereich oder Anwendungszweck zusammenbringen.","Spaces sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungs- und Speicherressourcen für ein spezifisches Geschäftsmodell oder -fall zusammenbringen.","Ressourcen sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungs- und Speicherressourcen für ein bestimmtes Geschäftsbereich oder -fall zusammenbringen.","Ressourcen sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungs- und Speicherressourcen für ein bestimmtes Geschäftsbereich oder -fall zusammenbringen.","{'line of business': 'Geschäftsbereich', 'storage': 'Speicher'}","Räume sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungsschätzungen und Speicherressourcen für einen bestimmten Geschäftsbereich oder eine Nutzungsumgebung zusammenbringen.","Räume sind Umgebungen, in denen Datenmodelle, Verbindungen, Berechnungsschwerpunkte und Speicherressourcen für einen bestimmten Geschäftsbereich oder eine Nutzungscase zusammengeführt werden.","Räume sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungsschätzungen und Speicherschätzungen für eine spezifische Geschäftsabteilung oder Nutzungscase zusammenbringen.",qwen3b_strong,"Räume sind Umgebungen, in denen Datenmodelle, Verbindungen, Berechnungsschwerpunkte und Speicherressourcen für einen bestimmten Geschäftsbereich oder eine Nutzungscase zusammengeführt werden.",1.0,"{'line of business': 'ID', 'storage': 'Selektion'}","Räume sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungsschätzungen und Selektionen für eine spezifische ID oder Nutzungscase zusammenbringen.",{},0,"Räume sind Umgebungen, in denen Datenmodelle, Verbindungen, Berechnungsschwerpunkte und Speicherressourcen für einen bestimmten Geschäftsbereich oder eine Nutzungscase zusammengeführt werden.",{},0,"Räume sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungsinressen und Speicherressourcen für einen bestimmten Geschäftsbereich oder Nutzungscase zusammenbringen.",{},0,"Ressourcen sind Umgebungen, die Datenmodelle, Verbindungen, Berechnungs- und Speicherressourcen für ein bestimmtes Geschäftsbereich oder -fall zusammenbringen.",{},0
"By default, you see your object’s business name.",Standardmäßig wird der betriebswirtschaftliche Name Ihres Objekts angezeigt.,{'business name': 'betriebswirtschaftlicher Name'},Standardmäßig sehen Sie Ihr Objekts Betriebswirtschaftlicher Name.,Betriebswirtschaftlicher Name wird standardmäßig angezeigt.,Defaultmäßig sehen Sie Ihre Objekte ihre Geschäftsname.,Standardmäßig sehen Sie Ihre Objekte Betriebswirtschaftliche Namen.,Standardmäßig sehen Sie Ihre Objekte Betriebswirtschaftliche Namen.,{'business name': 'betriebswirtschaftlicher Name'},Im Standardfall siehst du den Betriebswirtschaftlichen Namen deines Objekts.,Standardmäßig siehst du den Betriebswirtschaftlichen Namen deines Objekts.,Standardmäßig sehen Sie den Geschäftsnamen Ihres Objekts.,qwen3b_strong,Standardmäßig siehst du den Betriebswirtschaftlichen Namen deines Objekts.,0.0,{'business name': 'Callback'},Im Standardfall siehst du den Callback deines Objekts.,{'business name': 'betriebswirtschaftlicher Name'},1,Standardmäßig siehst du den betriebswirtschaftlichen Namen deines Objekts.,{'business name': 'betriebswirtschaftlicher Name'},1,Defaultmäßig siehst du den Betriebswirtschaftlichen Namen deines Objekts.,{'business name': 'betriebswirtschaftlicher Name'},1,Standardmäßig sehen Sie Ihren Objekten den betriebswirtschaftlichen Namen.,{'business name': 'betriebswirtschaftlicher Name'},1
Lists substitution strategies that fulfill specified search criteria.,"Führt Ersetzungsstrategien auf, die spezifische Suchkriterien erfüllen.",{'substitution': 'Ersetzung'},"Listen Siehst du, wie wir es machen?",Ersetzungsstrategien für spezifische Suchkriterien vorstellen.,Suchstrategien für die Zuweisung von Listen an bestimmte Suchkriterien auswählen.,"Erstellen Sie Listen der Ersetzungsstrategien, die auf bestimmte Suchkriterien zufinden.","Erstellen Sie Listen der Ersetzungsstrategien, die auf bestimmte Suchkriterien zufinden.",{'substitution': 'Ersetzung'},"Listet die Ersetzungsstrategien auf, die die angegebenen Suchkriterien erfüllen.","Listen an Ersetzungsstrategien, die die angegebenen Suchkriterien erfüllen.","Listet Ausgleichstrategien auf, die den angegebenen Suchkriterien entsprechen.",qwen3b_strong,"Listen an Ersetzungsstrategien, die die angegebenen Suchkriterien erfüllen.",1.0,{'substitution': 'Sequenz'},"Listet Strategien auf, die die angegebenen Suchkriterien erfüllen.

Note: In this case, ""Sequenz"" (sequence) is not an appropriate term for ""substitution"" in the context of the given sentence. The most accurate translation would be to use the term ""Strategien"" (strategies) as it directly corresponds to the English word ""substitution strategies.""",{},0,"Listen an Ersetzungsstrategien, die die angegebenen Suchkriterien erfüllen.",{},0,"Listen an Ersetzungsstrategien, die die angegebenen Suchkriterien erfüllen.",{},0,"Erstellen Sie Listen der Ersetzungsstrategien, die auf bestimmte Suchkriterien zufinden.",{},0
[if Enable Compound Triggers = false] Triggers Record Primary Keys Only,[wenn Zusammengesetzte Auslöser aktivieren = falsch] Löst nur Primärschlüssel für Datensätze aus,{'trigger': 'Auslöser'},[Wenn Enable Compound Triggers = false] Erstelle nur die Primärschlüssel als Auslöser,[Wenn Enable Compound Triggers = false] Erstelle nur die Primärschlüssel.,Triggers Record Primary Keys Only wenn Enable Compound Triggers = false,"Gerne! Hier ist die deutsche Übersetzung:

[Wenn Enable Compound Triggers = false] Triggers Record Primary Keys Only",[Wenn Enable Compound Triggers = false] Triggers Record Primary Keys Only,{'trigger': 'Auslöser'},"German translation:
[Wenn Auslöserkomplexe = false] Auslöser tragen nur Primärschlüssel ein",[Auslöser für Komplexe Auslöser = false] Auslöser speichern nur Primärschlüssel,[Wenn Enable Compound Triggers = false] Triggern werden nur Primärschlüssel zugewiesen,qwen3b_strong,[Auslöser für Komplexe Auslöser = false] Auslöser speichern nur Primärschlüssel,1.0,{'trigger': 'Space'},"German translation:

[Wenn zusammengesetzte Triggers = false] Triggers speichern nur Primärschlüssel",{},0,[Auslöser für Komplexe Auslöser = false] Auslöser speichern nur Primärschlüssel,{},0,[Auf Auslösern mit Komplexen Abläufen = false] Auslöser für Primäreinsteiger verwenden,{'trigger': 'Auslöser'},1,[Wenn Enable Compound Auslöser = false] Auslöser speichern nur Primärschlüssel,{},0
"With the Story Builder, you can create stories to visualize information with charts and tables.","Mit dem Story Builder können Sie Storys erstellen, um Informationen mithilfe von Diagrammen und Tabellen zu visualisieren.",{'create': 'erstellen'},"Mit dem Story-Buildervielfältigere Informationen darstellen können Sie Geschichten erstellen, die Tabellen und Diagramme verwenden.","Mit dem Story-Buildervielfältigere Informationen darstellen können Sie Geschichten erstellen, die Tabellen und Grafiken enthält.","Mit dem Story-Builder können Sie Geschichten erstellen, um Informationen mit Charten und Tabellen visualisieren zu lassen.","Gerne! Hier ist die deutsche Übersetzung:

Mit dem Story-Builder können Sie Geschichten erstellen, um Informationen mit Charten und Tabellen visualisieren zu können.","Mit dem Story-Builder können Sie Geschichten erstellen, um Informationen mit Charten und Tabellen visualisieren zu können.",{'create': 'erstellen'},"Mit dem Story Builder kannst du Geschichten erstellen, um Informationen mit Diagrammen und Tabellen zu visualisieren.","Mit dem Story Builder kannst du Geschichten erstellen, um Informationen mit Diagrammen und Tabellen zu visualisieren.","Mit dem Story Builder können Sie Geschichten erstellen, um Informationen mit Diagrammen und Tabellen zu visualisieren.",qwen3b_strong,"Mit dem Story Builder kannst du Geschichten erstellen, um Informationen mit Diagrammen und Tabellen zu visualisieren.",1.0,{'create': 'Space'},"Mit dem Story-Buildern kannst du Geschichten kreieren, um Informationen mit Diagrammen und Tabellen zu visualisieren.

Note: The term ""Space"" was not used in the original sentence, so I did not incorporate it into the translation. If ""Space"" is meant to be used as a specific term for this context, please provide more information or context.",{},0,"Mit dem Story Builder kannst du Geschichten erstellen, um Informationen mit Diagrammen und Tabellen zu visualisieren.",{},0,"Mit dem Story Builder können Sie Geschichten erstellen, um Informationen mit Charts und Tabellen zu visualisieren.",{},0,"Mit dem Story-Builder können Sie Geschichten erstellen, um Informationen mit Charten und Tabellen visualisieren zu können.",{},0
"Currently, only one space can connect to data lake.",Derzeit kann nur ein Space mit Data Lake verbunden werden.,{'space': 'Space'},Derzeit kann nur ein Space Datenlake verbinden.,Derzeit kann nur ein Leerzeichen zu einem Datenlager verbunden werden.,"Gerne! Hier ist die deutsche Übersetzung:

Dein Space kann momentan nur mit einem Data Lake verbunden werden.","Gerne! Hier ist die deutsche Übersetzung:

Dein Name oder E-Mail wird nicht veröffentlicht. Das Feld ""E-Mail"" ist erforderlich.","Dein Name oder E-Mail wird nicht veröffentlicht. Das Feld ""E-Mail"" ist erforderlich.",{'space': 'Space'},Aktuell kann nur ein Space zu einem Data Lake verbunden werden.,Aktuell kann nur ein Space zu einem Data Lake verbinden.,Aktuell kann nur eine Leerraum zu einem Datenspeicherlake verbinden.,qwen3b_strong,Aktuell kann nur ein Space zu einem Data Lake verbinden.,1.0,{'space': 'Typ'},Aktuell kann nur ein Typ zu einem Datenspeicher verbunden werden.,{},0,Aktuell kann nur ein Space zu einem Data Lake verbinden.,{},0,Aktuell kann nur eine Space zu einem Data Lake verbinden.,{'space': 'Space'},1,Aktuell kann nur ein Space zu einem Datenspeicher verbunden werden.,{},0
Control your projection in the Columns section of its side panel:,Steuern Sie Ihre Projektion unter Spalten im zugehörigen Seitenbereich:,{'side panel': 'Seitenbereich'},Verwende deine Projektion im Abschnitt der Seitenbereich des Projektor:,Seitenbereich des Projektorcontrols im Abschnitt der Spaltenkarte:,"Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Englisch: Control your projection in the Columns section of its side panel:
Deutsch: Kontrollieren Sie Ihre Projektion im Abschnitt der Spalten des Seitenbereichs:","Englisch: Control your projection in the Columns section of its side panel:
Deutsch: Kontrollieren Sie Ihre Projektion im Abschnitt der Spalten des Seitenbereichs:",{'side panel': 'Seitenbereich'},Steuere dein Projektion in der Spaltensektion des Seitenbereichs:,Steuere dein Projektion in der Spaltensektion des Seitenbereichs:,Steuere dein Projektion in der Spaltensektion des Seitenpanels:,qwen3b_strong,Steuere dein Projektion in der Spaltensektion des Seitenbereichs:,1.0,{'side panel': 'erstellen'},Steuere dein Projektion in der Spaltensektion des erstellten Bereichs:,{},0,Steuere dein Projektion in der Spaltensektion des Seitenbereichs:,{},0,Steuere dein Projektion im Seitenbereich des Kachelns-Etiketten:,{},0,"Englisch: Control your projection in the Columns section of its side panel:
Deutsch: Kontrollieren Sie Ihre Projektion im Abschnitt der Spalten des Seitenbereichs:",{},0
In the Capacity Plan Simulation the capacity of the work center is displayed for the defined time period (bucket).,In der Kapazitätsplansimulation wird die Kapazität des Arbeitsplatzes für den festgelegten Zeitraum (Periode) angezeigt.,{'bucket': 'Periode'},In der Kapazitätsplanungs-Simulation wird die Kapazität des Arbeitstisches für die definierte Zeitperiode (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Arbeitstages für die definierte Zeitperiode (Periode) angezeigt.,In der KapazitätsplanungsSimulation wird die Kapazität des Arbeitsplatzes für den definierten Zeitraum (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Work Centers für die definierte Zeitraumperiode (Bucket) angezeigt.,In der Kapazitätsplanungs-Simulation wird die Kapazität des Work Centers für die definierte Zeitraumperiode (Bucket) angezeigt.,{'bucket': 'Periode'},In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für die definierte Zeitperiode (Periode) angezeigt.,In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Periode) angezeigt.,In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Kanal) angezeigt.,qwen3b_strong,In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Periode) angezeigt.,1.0,{'bucket': 'Anwender'},In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Anwender) angezeigt.,{},0,In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Periode) angezeigt.,{},0,In der Kapazitätsplanungssimulation wird die Kapazität des Arbeitszentrums für den definierten Zeitraum (Periode) angezeigt.,{},0,In der Kapazitätsplanungs-Simulation wird die Kapazität des Work Centers für die definierte Zeitraumperiode (Bucket) angezeigt.,{},0
